indice_tiempo,superficie_sembrada_mani_ha,superficie_cosechada_mani_ha,produccion_mani_t,rendimiento_mani_kgxha
1927,56314,54952,64724,1178
1928,51788,50445,46186,916
1929,45606,44905,65410,1457
1930,50332,50084,66445,1327
1931,51370,46980,58663,1249
1932,85729,78265,78287,1000
1933,89590,83193,104057,1251
1934,80038,73427,92772,1263
1935,98550,89050,113508,1275
1936,127353,106319,79346,746
1937,122439,92595,69317,749
1938,81060,48282,40822,845
1939,89100,77118,84395.4,1094
1940,75000,61935,61000,985
1941,73700,67079,82600,1231
1942,123582,109036,96057,881
1943,159390,145165,198888,1370
1944,176700,142020,158250,1114
1945,182000,154039,156200,1014
1946,145704,113630,112800,993
1947,122050,107442,104700,974
1948,111250,94100,85150,905
1949,100500,76185,60600,795
1950,121150,105280,93200,885
1951,160600,141690,154700,1092
1952,182434,175378,204000,1163
1953,190000,181584,169650,934
1954,157000,148791,118000,793
1955,204640,195500,216200,1106
1956,226180,221520,318000,1436
1957,248098,239630,290300,1211
1958,283800,259510,240800,928
1959,200400,189500,209300,1104
1960,200600,189300,266000,1405
1961,288500,279580,433000,1549
1962,279300,266140,312000,1172
1963,361700,344280,333000,967
1964,388500,378430,439300,1161
1965,351100,333300,410800,1233
1966,335300,327500,354000,1081
1967,294400,287250,282800,985
1968,253500,243500,217000,891
1969,215100,210500,234500,1114
1970,314000,309800,387600,1251
1971,320900,293800,252000,858
1972,388900,379000,440000,1161
1973,349500,344500,290000,842
1974,383200,356800,375200,1052
1975,335000,308830,337900,1094
1976,370000,367000,600000,1635
1977,452000,428000,260000,607
1978,400000,392500,470000,1197
1979,286600,279100,206000,738
1980,201300,196700,170000,864
1981,180000,179000,205000,1145
1982,125100,125000,165000,1320
1983,145700,145700,235000,1613
1984,146000,146000,240000,1644
1985,176000,173000,259000,1497
1986,240400,238400,350000,1468
1987,193400,193340,274100,1418
1988,153200,153200,190200,1242
1989,170400,165900,234700,1415
1990,198000,178820,310600,1737
1991,153300,153100,221400,1446
1992,110000,110000,233400,2122
1993,133700,133700,208100,1556
1994,155210,155110,237817,1533
1995,238900,238830,462390,1936
1996,328520,298070,280856,942
1997,406560,383675,627695,1636
1998,336760,329710,340207,1032
1999,219360,219260,419600,1914
2000,252460,251060,394800,1573
2001,222370,222370,361900,1627
2002,157326,156426,220900,1412
2003,170223,167473,292950,1749
2004,211090,210820,444800,2110
2005,174039,163679,347323,2122
2006,215661,215061,600035,2790
2007,227889,227389,625349,2750
2008,264430,257430,605491,2352
2009,222053,218828,611040,2792
2010,264568,264568,701535,2652
2011,307238,307166,685722,2232
2012,418063,404022,1025857,2539
2013,411688,409312,1165924,2849
2014,425628,424628,1010777,2380
2015,368438,341838,1001113,2929
2016,364191,334050,1081032,3236
2017,452118,443864,921231,2075
2018,389054,387014,1337229,3455
2019,368651,367377,1285431,3499
