indice_tiempo,cria_csalado($/ha),invernada_subhumeda_alta_prod($/ha),feedlot($/cab)
jul-11,724,984,256
ago-11,726,1429,299
sep-11,734,962,216
oct-11,766,943,290
nov-11,721,1268,303
dic-11,682,1058,392
ene-12,636,1216,298
feb-12,678,2095,582
mar-12,702,2564,746
abr-12,691,2663,900
may-12,688,2673,903
jun-12,668,2686,1060
jul-12,680,1255,689
ago-12,708,1429,359
sep-12,723,287,25
oct-12,690,662,99
nov-12,679,-30,60
dic-12,679,420,147
ene-13,650,1039,410
feb-13,690,1801,512
mar-13,661,1798,546
abr-13,611,2198,818
may-13,621,1340,677
jun-13,650,1705,741
jul-13,647,1612,728
ago-13,705,1429,626
sep-13,737,1034,356
oct-13,797,983,170
nov-13,983,1203,-41
dic-13,1018,1027,96
ene-14,922,2212,206
feb-14,1056,3604,747
mar-14,1027,3579,839
abr-14,1023,3565,995
may-14,1000,3850,1249
jun-14,1030,4130,1302
jul-14,1170,3893,1154
ago-14,1401,3464,1111
sep-14,1559,1175,342
oct-14,1489,584,139
nov-14,1509,431,111
dic-14,1409,1067,419
ene-15,1428,893,380
feb-15,1505,1461,459
mar-15,1471,1556,620
abr-15,1366,1907,930
may-15,1397,2540,1120
jun-15,1456,3470,1138
jul-15,1536,2502,1076
ago-15,1638,2472,560
sep-15,1748,1673,358
oct-15,1821,1584,143
nov-15,2256,539,-301
dic-15,2257,3066,490
ene-16,2128,2003,103
feb-16,2182,2708,118
mar-16,2215,3500,411
abr-16,2234,5505,777
may-16,2175,6389,1118
jun-16,2110,6331,922
jul-16,2189,5592,957
ago-16,2203,5636,758
sep-16,2280,4644,544
oct-16,2153,3752,420
nov-16,2145,2693,-159
dic-16,2103,2450,-159
ene-17,1960,2691,140
feb-17,2066,4154,434
mar-17,2110,6058,1127
abr-17,2105,7485,1760
may-17,2029,6683,1155
jun-17,2047,8017,1221
jul-17,2188,6449,741
ago-17,2395,5832,-265
sep-17,2459,4566,-176
oct-17,2471,3454,-524
nov-17,2496,3198,-806
dic-17,2381,3271,-744
ene-18,2314,2883,-597
feb-18,2425,5219,-569
mar-18,2250,4104,-366
abr-18,2162,4062,-121
may-18,2409,4045,-489
jun-18,2407,7252,387
jul-18,2388,9164,1395
ago-18,2689,9036,-244
sep-18,3275,5707,-1299
oct-18,3010,5669,-1318
nov-18,2851,7864,-1123
dic-18,2856,8644,-1265
ene-19,3316,13569,-307
feb-19,3753,18116,1188
mar-19,3629,17659,1049
abr-19,3648,17474,1135
may-19,3886,12232,-614
jun-19,4004,11033,-613
jul-19,4032,14057,466
ago-19,4674,10221,-1896
